,quantifier,C,class_weight,std_dev,variance,mean,error_type,number_of_folds
0,ACC,0.001,None,"[1.51593230e-03 9.92115609e-04 7.31085893e-04 6.17680095e-04
 4.86129237e-04 4.01234142e-04 2.86547555e-04 2.37745001e-04
 1.85690884e-04 9.17929382e-19]","[2.29805074e-06 9.84293382e-07 5.34486582e-07 3.81528700e-07
 2.36321635e-07 1.60988837e-07 8.21095015e-08 5.65226855e-08
 3.44811043e-08 8.42594351e-37]","[0.01880287 0.01882792 0.01873161 0.01883396 0.01878153 0.01875813
 0.01883748 0.01880641 0.01879204 0.0188179 ]",mae,100
1,ACC,0.001,balanced,"[1.09442165e-03 8.38435653e-04 5.12731646e-04 4.85369159e-04
 3.53069157e-04 3.16077399e-04 2.30085684e-04 1.56402076e-04
 1.14803935e-04 5.40276556e-18]","[1.19775876e-06 7.02974344e-07 2.62893741e-07 2.35583220e-07
 1.24657830e-07 9.99049220e-08 5.29394220e-08 2.44616093e-08
 1.31799435e-08 2.91898757e-35]","[0.01293827 0.01301052 0.01290962 0.01291553 0.0129449  0.01285214
 0.01294887 0.01293453 0.01292332 0.01290772]",mae,100
2,ACC,0.01,None,"[1.39504740e-03 9.93392903e-04 6.99493806e-04 6.39152845e-04
 4.72934366e-04 4.15059913e-04 3.23144853e-04 2.66928433e-04
 1.51754086e-04 3.23608468e-18]","[1.94615725e-06 9.86829460e-07 4.89291585e-07 4.08516360e-07
 2.23666914e-07 1.72274732e-07 1.04422596e-07 7.12507884e-08
 2.30293026e-08 1.04722441e-35]","[0.01860699 0.01866492 0.01878642 0.01891488 0.01882922 0.0188464
 0.0187703  0.01879343 0.01880152 0.01879404]",mae,100
3,ACC,0.01,balanced,"[1.26305269e-03 9.30248631e-04 6.82687927e-04 5.20920297e-04
 4.10718444e-04 3.51726203e-04 2.84484781e-04 2.07675320e-04
 1.38699288e-04 2.68742205e-18]","[1.59530209e-06 8.65362515e-07 4.66062805e-07 2.71357956e-07
 1.68689640e-07 1.23711322e-07 8.09315907e-08 4.31290385e-08
 1.92374925e-08 7.22223729e-36]","[0.01363646 0.01341824 0.01339273 0.01342164 0.01342243 0.01348223
 0.01345339 0.01344104 0.01345143 0.01346961]",mae,100
4,ACC,0.1,None,"[1.72408415e-03 9.97285135e-04 7.73305501e-04 7.18466008e-04
 5.43749825e-04 4.38755672e-04 3.19685993e-04 2.49041409e-04
 1.65056806e-04 5.48567729e-18]","[2.97246614e-06 9.94577641e-07 5.98001398e-07 5.16193405e-07
 2.95663873e-07 1.92506540e-07 1.02199134e-07 6.20216235e-08
 2.72437492e-08 3.00926554e-35]","[0.01960653 0.0194397  0.01959794 0.01942406 0.01931222 0.01942174
 0.01942641 0.01950112 0.01943605 0.0194276 ]",mae,100
5,ACC,0.1,balanced,"[1.50269432e-03 1.00718924e-03 7.16602096e-04 5.04665447e-04
 4.78444685e-04 3.70291091e-04 2.82007881e-04 2.53421521e-04
 1.49831126e-04 2.33383175e-18]","[2.25809021e-06 1.01443017e-06 5.13518565e-07 2.54687214e-07
 2.28909316e-07 1.37115492e-07 7.95284451e-08 6.42224672e-08
 2.24493665e-08 5.44677062e-36]","[0.01404795 0.0140156  0.01409938 0.01402364 0.01407627 0.01407837
 0.01403887 0.01404374 0.01400567 0.014041  ]",mae,100
6,ACC,1.0,None,"[1.53543710e-03 9.62951301e-04 7.70277072e-04 5.81570577e-04
 5.57141702e-04 3.83348428e-04 3.28307780e-04 2.51796536e-04
 1.63029600e-04 5.27310284e-18]","[2.35756707e-06 9.27275209e-07 5.93326768e-07 3.38224336e-07
 3.10406876e-07 1.46956017e-07 1.07785998e-07 6.34014953e-08
 2.65786503e-08 2.78056136e-35]","[0.01929058 0.01924022 0.01929711 0.0193208  0.01928751 0.01924719
 0.01929544 0.01930348 0.01929925 0.01930661]",mae,100
7,ACC,1.0,balanced,"[1.51230777e-03 9.61309252e-04 7.47865913e-04 4.98369795e-04
 4.94746650e-04 3.79012507e-04 3.02263204e-04 2.34348358e-04
 1.63119424e-04 2.63083841e-18]","[2.28707480e-06 9.24115479e-07 5.59303424e-07 2.48372453e-07
 2.44774248e-07 1.43650481e-07 9.13630444e-08 5.49191530e-08
 2.66079466e-08 6.92131074e-36]","[0.01367486 0.01369363 0.0137186  0.01379309 0.01381883 0.01378304
 0.01380704 0.01381322 0.01379783 0.01380076]",mae,100
8,ACC,10.0,None,"[1.33835167e-03 1.07447764e-03 8.46713958e-04 6.81154768e-04
 5.51539178e-04 3.89064427e-04 3.25411582e-04 2.34575011e-04
 1.68963290e-04 6.47216937e-18]","[1.79118518e-06 1.15450221e-06 7.16924526e-07 4.63971817e-07
 3.04195465e-07 1.51371129e-07 1.05892698e-07 5.50254356e-08
 2.85485935e-08 4.18889763e-35]","[0.01940571 0.01968719 0.01971877 0.01955897 0.01957976 0.01959277
 0.01953316 0.01959786 0.01956354 0.01955577]",mae,100
9,ACC,10.0,balanced,"[1.36589458e-03 1.02347194e-03 6.60822858e-04 6.03292448e-04
 4.45185052e-04 3.34344841e-04 3.25587110e-04 2.22793894e-04
 1.28388386e-04 2.15273522e-18]","[1.86566801e-06 1.04749480e-06 4.36686850e-07 3.63961778e-07
 1.98189730e-07 1.11786473e-07 1.06006966e-07 4.96371194e-08
 1.64835778e-08 4.63426893e-36]","[0.01388389 0.01383435 0.01375053 0.01371426 0.01377917 0.01380047
 0.01376834 0.01376027 0.01378763 0.01378018]",mae,100
10,ACC,100.0,None,"[1.51734595e-03 1.04508690e-03 7.76054524e-04 5.79263396e-04
 5.38999685e-04 3.83883124e-04 2.90475599e-04 2.21820238e-04
 1.67413683e-04 5.21572243e-18]","[2.30233872e-06 1.09220662e-06 6.02260624e-07 3.35546082e-07
 2.90520660e-07 1.47366253e-07 8.43760736e-08 4.92042182e-08
 2.80273412e-08 2.72037605e-35]","[0.01952457 0.01940238 0.01952499 0.01949476 0.01957162 0.01959427
 0.01953803 0.01953239 0.01956962 0.01955287]",mae,100
11,ACC,100.0,balanced,"[1.37850055e-03 9.52914296e-04 7.09482750e-04 5.52310955e-04
 4.57637746e-04 3.62017432e-04 2.77998978e-04 2.06687600e-04
 1.42370771e-04 1.52221367e-18]","[1.90026378e-06 9.08045655e-07 5.03365773e-07 3.05047391e-07
 2.09432306e-07 1.31056621e-07 7.72834318e-08 4.27197639e-08
 2.02694363e-08 2.31713446e-36]","[0.01358162 0.0136531  0.01377684 0.01379662 0.01380148 0.01378241
 0.01377639 0.01377066 0.01375511 0.01376343]",mae,100
