,quantifier,C,class_weight,std_dev,variance,mean,error_type,number_of_folds
0,ACC,0.001,None,"[3.46944695e-18 3.46944695e-18 3.46944695e-18 3.46944695e-18
 6.93889390e-18 6.93889390e-18 3.46944695e-18 3.46944695e-18
 3.46944695e-18 0.00000000e+00]","[1.20370622e-35 1.20370622e-35 1.20370622e-35 1.20370622e-35
 4.81482486e-35 4.81482486e-35 1.20370622e-35 1.20370622e-35
 1.20370622e-35 0.00000000e+00]","[0.01744785 0.01800074 0.01840675 0.01872407 0.01905399 0.01883584
 0.01929712 0.0190094  0.01875879 0.0188227 ]",mae,100
1,ACC,0.001,balanced,"[1.73472348e-18 1.73472348e-18 3.46944695e-18 1.73472348e-18
 1.73472348e-18 3.46944695e-18 3.46944695e-18 0.00000000e+00
 1.73472348e-18 5.20417043e-18]","[3.00926554e-36 3.00926554e-36 1.20370622e-35 3.00926554e-36
 3.00926554e-36 1.20370622e-35 1.20370622e-35 0.00000000e+00
 3.00926554e-36 2.70833898e-35]","[0.01313038 0.01329175 0.01306547 0.01299036 0.01306904 0.01299998
 0.01292548 0.01297137 0.01279925 0.01295467]",mae,100
2,ACC,0.01,None,"[6.93889390e-18 3.46944695e-18 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.46944695e-18 0.00000000e+00 6.93889390e-18
 6.93889390e-18 3.46944695e-18]","[4.81482486e-35 1.20370622e-35 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.20370622e-35 0.00000000e+00 4.81482486e-35
 4.81482486e-35 1.20370622e-35]","[0.01755843 0.01804392 0.01825132 0.0182038  0.01824972 0.01853603
 0.01902874 0.01904804 0.01890748 0.01877754]",mae,100
3,ACC,0.01,balanced,"[1.73472348e-18 1.73472348e-18 1.73472348e-18 1.73472348e-18
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.46944695e-18
 5.20417043e-18 3.46944695e-18]","[3.00926554e-36 3.00926554e-36 3.00926554e-36 3.00926554e-36
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.20370622e-35
 2.70833898e-35 1.20370622e-35]","[0.01315366 0.01358366 0.01325367 0.01323742 0.01353079 0.01363293
 0.01358481 0.01340766 0.01329667 0.01344227]",mae,100
4,ACC,0.1,None,"[3.46944695e-18 3.46944695e-18 3.46944695e-18 0.00000000e+00
 3.46944695e-18 0.00000000e+00 6.93889390e-18 6.93889390e-18
 6.93889390e-18 3.46944695e-18]","[1.20370622e-35 1.20370622e-35 1.20370622e-35 0.00000000e+00
 1.20370622e-35 0.00000000e+00 4.81482486e-35 4.81482486e-35
 4.81482486e-35 1.20370622e-35]","[0.01870904 0.01811973 0.01872408 0.0190212  0.01924383 0.01978058
 0.02012237 0.01976862 0.01941895 0.01947333]",mae,100
5,ACC,0.1,balanced,"[0.00000000e+00 1.73472348e-18 1.73472348e-18 0.00000000e+00
 1.73472348e-18 5.20417043e-18 1.73472348e-18 3.46944695e-18
 1.73472348e-18 5.20417043e-18]","[0.00000000e+00 3.00926554e-36 3.00926554e-36 0.00000000e+00
 3.00926554e-36 2.70833898e-35 3.00926554e-36 1.20370622e-35
 3.00926554e-36 2.70833898e-35]","[0.01419978 0.01447151 0.01427953 0.01427919 0.01424941 0.01427115
 0.01411726 0.01392355 0.01383749 0.01399308]",mae,100
6,ACC,1.0,None,"[0.00000000e+00 0.00000000e+00 3.46944695e-18 6.93889390e-18
 6.93889390e-18 0.00000000e+00 3.46944695e-18 0.00000000e+00
 3.46944695e-18 3.46944695e-18]","[0.00000000e+00 0.00000000e+00 1.20370622e-35 4.81482486e-35
 4.81482486e-35 0.00000000e+00 1.20370622e-35 0.00000000e+00
 1.20370622e-35 1.20370622e-35]","[0.01846751 0.01833096 0.01868305 0.01897812 0.01910241 0.01962505
 0.02017903 0.01979813 0.01934658 0.01935159]",mae,100
7,ACC,1.0,balanced,"[1.73472348e-18 3.46944695e-18 5.20417043e-18 5.20417043e-18
 5.20417043e-18 5.20417043e-18 1.73472348e-18 5.20417043e-18
 1.73472348e-18 1.73472348e-18]","[3.00926554e-36 1.20370622e-35 2.70833898e-35 2.70833898e-35
 2.70833898e-35 2.70833898e-35 3.00926554e-36 2.70833898e-35
 3.00926554e-36 3.00926554e-36]","[0.01373302 0.01409669 0.01380385 0.01382936 0.01391336 0.01395831
 0.01385773 0.0136854  0.01359754 0.01375178]",mae,100
8,ACC,10.0,None,"[0.00000000e+00 3.46944695e-18 6.93889390e-18 0.00000000e+00
 0.00000000e+00 3.46944695e-18 3.46944695e-18 3.46944695e-18
 6.93889390e-18 6.93889390e-18]","[0.00000000e+00 1.20370622e-35 4.81482486e-35 0.00000000e+00
 0.00000000e+00 1.20370622e-35 1.20370622e-35 1.20370622e-35
 4.81482486e-35 4.81482486e-35]","[0.01938075 0.01914302 0.01919109 0.01929516 0.01942559 0.01990879
 0.02040016 0.02004004 0.01957595 0.01960157]",mae,100
9,ACC,10.0,balanced,"[1.73472348e-18 1.73472348e-18 1.73472348e-18 5.20417043e-18
 5.20417043e-18 6.93889390e-18 5.20417043e-18 3.46944695e-18
 0.00000000e+00 5.20417043e-18]","[3.00926554e-36 3.00926554e-36 3.00926554e-36 2.70833898e-35
 2.70833898e-35 4.81482486e-35 2.70833898e-35 1.20370622e-35
 0.00000000e+00 2.70833898e-35]","[0.01374258 0.01406127 0.01374422 0.01377178 0.0138625  0.01391037
 0.01381721 0.01364731 0.01355999 0.01373191]",mae,100
